       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey 
  iPTF13cjq  3.6132500000  +24.285778000    0.3962        Unknown  0.0423   56488.25  56511.37   Silver    iPTF 
  iPTF13dcc  44.260375000  -0.3122500000    0.4305    SN_features  0.0578   56491.82  56576.53   Silver    iPTF 
  iPTF13ehe  103.33958333  +67.132222220    0.3434     Host_lines  0.0434   56565.85   56671.2     Gold    iPTF 
  iPTF15eov  61.423200000  +28.944631000    0.0535        Unknown  0.5347   57356.61  57379.89     Gold    iPTF 
  iPTF16asu  194.78900000  +13.803000000     0.187     Host_lines  0.0275   57512.24  57523.64   Silver    iPTF 
  iPTF16bad  259.16554167  +28.370166670    0.2467     Host_lines  0.0426   57515.69  57542.92   Silver    iPTF 
   iPTF16eh  190.27589170  +32.808572200     0.427     Host_lines  0.0146   57369.39   57435.3     Gold    iPTF 
   LSQ12dlf  27.624166670  -21.812611110     0.255    SN_features   0.011   56098.62  56138.25     Gold     LSQ 
    LSQ14an  193.44929167  -29.524222220    0.1637     Host_lines  0.0711   56505.57  56603.38   Silver     LSQ 
   LSQ14bdq  150.42333333  -12.370388890     0.345     Host_lines  0.0559   56732.74  56837.34     Gold     LSQ 
   LSQ14fxj  39.802541670  +3.3248888900      0.36       Mg_Lines   0.031   56906.11  56965.31   Bronze     LSQ 
    LSQ14mo  155.67304167  -16.920666670     0.256     Host_lines  0.0646   56663.61  56694.91     Gold     LSQ 
  MLS121104  34.179167000  +20.669167000     0.303     Host_lines  0.1501   56126.14  56224.22   Bronze     CSS 
   OGLE15qz  47.149500000  -70.511555600      0.68    SN_features  0.0274    57242.1   57346.2     Gold    OGLE 
   OGLE15sd  25.589416700  -71.787666700     0.565    SN_features  0.0372   57290.95  57341.42   Silver    OGLE 
   OGLE15xl  65.222708000  -73.605611000     0.198     Host_lines  0.0789   57320.54  57364.98   Silver    OGLE 
   OGLE15xx  83.918125000  -66.346805600      0.21    SN_features  0.2766   57370.69  57402.57   Silver    OGLE 
  OGLE16dmu  72.109750000  -62.336277800     0.426    SN_features  0.0271   57624.97  57677.37   Silver    OGLE 
   PS110ahf  353.11791667  -0.3621111100       1.1    SN_features  0.0293   55346.59  55524.29   Silver     PS1 
   PS110awh  333.62429583  -0.0676722200    0.9084       Mg_Lines  0.0658   55458.73  55513.04     Gold     PS1 
   PS110bzj  52.915941670  -27.795047220      0.65       Mg_Lines  0.0068   55529.77  55559.81     Gold     PS1 
    PS110ky  333.40771250  +1.2398805600    0.9558       Mg_Lines  0.0299   55367.39  55393.85     Gold     PS1 
    PS110pm  183.17583333  +46.991522220     1.206       Mg_Lines  0.0153   55259.36   55319.3     Gold     PS1 
   PS111afv  183.90737500  +48.180172220     1.407       Mg_Lines  0.0138   55672.17  55739.56     Gold     PS1 
   PS111aib  334.55090417  +1.5588916700     0.997       Mg_Lines  0.0428   55707.38  55839.55     Gold     PS1 
    PS111ap  162.11554167  +57.152555560     0.524     Host_lines  0.0059    55540.0   55612.5     Gold     PS1 
   PS111bam  130.30913333  +44.032486110     1.565       Mg_Lines  0.0234   55822.93  55877.15   Silver     PS1 
