          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 60292.489572  19.9208   20.074    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60293.531871   20.434  20.6434    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60294.517073  20.5408  20.7501    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
  60295.46541  20.4702  20.6795    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60302.435999  19.7335  19.8867    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  60308.51831  19.8245  19.9777    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60310.467604  19.9521  20.1053    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60312.494334  19.8649  20.0181    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60313.464118  19.4511  19.6043    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60315.511871  20.3332  20.4864    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60316.518114  20.1103  20.2635    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60317.456389  19.9081  20.0613    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  60320.44467  19.6241  19.7773    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60323.430359  20.4555  20.6087    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60324.446162  20.2931  20.4463    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60325.504088  19.5242  19.6774    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60327.393023  20.2971  20.4503    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
